,RunId,iteration,Step,seed,steps_per_second,aisle_speed,occupancy,seat_assignment_method,conformance,Time (s)
0,0,0,525,42,2,0.8,0.1,random,100,1052
1,1,0,939,42,2,0.8,0.2,random,100,1880
2,2,0,1215,42,2,0.8,0.30000000000000004,random,100,2432
3,3,0,1538,42,2,0.8,0.4,random,100,3078
4,4,0,1936,42,2,0.8,0.5,random,100,3874
5,5,0,1976,42,2,0.8,0.6,random,100,3954
6,6,0,2646,42,2,0.8,0.7000000000000001,random,100,5294
7,10,1,525,42,2,0.8,0.1,random,100,1052
8,11,1,939,42,2,0.8,0.2,random,100,1880
9,7,0,2819,42,2,0.8,0.8,random,100,5640
10,12,1,1215,42,2,0.8,0.30000000000000004,random,100,2432
11,8,0,3055,42,2,0.8,0.9,random,100,6112
12,13,1,1538,42,2,0.8,0.4,random,100,3078
13,14,1,1936,42,2,0.8,0.5,random,100,3874
14,9,0,3600,42,2,0.8,1.0,random,100,7202
15,15,1,1976,42,2,0.8,0.6,random,100,3954
16,16,1,2646,42,2,0.8,0.7000000000000001,random,100,5294
17,20,2,525,42,2,0.8,0.1,random,100,1052
18,21,2,939,42,2,0.8,0.2,random,100,1880
19,22,2,1215,42,2,0.8,0.30000000000000004,random,100,2432
20,17,1,2819,42,2,0.8,0.8,random,100,5640
21,18,1,3055,42,2,0.8,0.9,random,100,6112
22,23,2,1538,42,2,0.8,0.4,random,100,3078
23,24,2,1936,42,2,0.8,0.5,random,100,3874
24,19,1,3600,42,2,0.8,1.0,random,100,7202
25,25,2,1976,42,2,0.8,0.6,random,100,3954
26,26,2,2646,42,2,0.8,0.7000000000000001,random,100,5294
27,30,3,525,42,2,0.8,0.1,random,100,1052
28,31,3,939,42,2,0.8,0.2,random,100,1880
29,27,2,2819,42,2,0.8,0.8,random,100,5640
30,32,3,1215,42,2,0.8,0.30000000000000004,random,100,2432
31,28,2,3055,42,2,0.8,0.9,random,100,6112
32,33,3,1538,42,2,0.8,0.4,random,100,3078
33,29,2,3600,42,2,0.8,1.0,random,100,7202
34,34,3,1936,42,2,0.8,0.5,random,100,3874
35,35,3,1976,42,2,0.8,0.6,random,100,3954
36,36,3,2646,42,2,0.8,0.7000000000000001,random,100,5294
37,40,4,525,42,2,0.8,0.1,random,100,1052
38,41,4,939,42,2,0.8,0.2,random,100,1880
39,37,3,2819,42,2,0.8,0.8,random,100,5640
40,42,4,1215,42,2,0.8,0.30000000000000004,random,100,2432
41,38,3,3055,42,2,0.8,0.9,random,100,6112
42,43,4,1538,42,2,0.8,0.4,random,100,3078
43,39,3,3600,42,2,0.8,1.0,random,100,7202
44,44,4,1936,42,2,0.8,0.5,random,100,3874
45,45,4,1976,42,2,0.8,0.6,random,100,3954
46,46,4,2646,42,2,0.8,0.7000000000000001,random,100,5294
47,50,5,525,42,2,0.8,0.1,random,100,1052
48,51,5,939,42,2,0.8,0.2,random,100,1880
49,47,4,2819,42,2,0.8,0.8,random,100,5640
50,52,5,1215,42,2,0.8,0.30000000000000004,random,100,2432
51,48,4,3055,42,2,0.8,0.9,random,100,6112
52,53,5,1538,42,2,0.8,0.4,random,100,3078
53,49,4,3600,42,2,0.8,1.0,random,100,7202
54,54,5,1936,42,2,0.8,0.5,random,100,3874
55,55,5,1976,42,2,0.8,0.6,random,100,3954
56,56,5,2646,42,2,0.8,0.7000000000000001,random,100,5294
57,60,6,525,42,2,0.8,0.1,random,100,1052
58,61,6,939,42,2,0.8,0.2,random,100,1880
59,57,5,2819,42,2,0.8,0.8,random,100,5640
60,62,6,1215,42,2,0.8,0.30000000000000004,random,100,2432
61,58,5,3055,42,2,0.8,0.9,random,100,6112
62,63,6,1538,42,2,0.8,0.4,random,100,3078
63,59,5,3600,42,2,0.8,1.0,random,100,7202
64,64,6,1936,42,2,0.8,0.5,random,100,3874
65,65,6,1976,42,2,0.8,0.6,random,100,3954
66,66,6,2646,42,2,0.8,0.7000000000000001,random,100,5294
67,70,7,525,42,2,0.8,0.1,random,100,1052
68,71,7,939,42,2,0.8,0.2,random,100,1880
69,67,6,2819,42,2,0.8,0.8,random,100,5640
70,72,7,1215,42,2,0.8,0.30000000000000004,random,100,2432
71,68,6,3055,42,2,0.8,0.9,random,100,6112
72,73,7,1538,42,2,0.8,0.4,random,100,3078
73,69,6,3600,42,2,0.8,1.0,random,100,7202
74,74,7,1936,42,2,0.8,0.5,random,100,3874
75,75,7,1976,42,2,0.8,0.6,random,100,3954
76,76,7,2646,42,2,0.8,0.7000000000000001,random,100,5294
77,80,8,525,42,2,0.8,0.1,random,100,1052
78,81,8,939,42,2,0.8,0.2,random,100,1880
79,77,7,2819,42,2,0.8,0.8,random,100,5640
80,82,8,1215,42,2,0.8,0.30000000000000004,random,100,2432
81,78,7,3055,42,2,0.8,0.9,random,100,6112
82,83,8,1538,42,2,0.8,0.4,random,100,3078
83,79,7,3600,42,2,0.8,1.0,random,100,7202
84,84,8,1936,42,2,0.8,0.5,random,100,3874
85,85,8,1976,42,2,0.8,0.6,random,100,3954
86,86,8,2646,42,2,0.8,0.7000000000000001,random,100,5294
87,90,9,525,42,2,0.8,0.1,random,100,1052
88,91,9,939,42,2,0.8,0.2,random,100,1880
89,87,8,2819,42,2,0.8,0.8,random,100,5640
90,88,8,3055,42,2,0.8,0.9,random,100,6112
91,92,9,1215,42,2,0.8,0.30000000000000004,random,100,2432
92,93,9,1538,42,2,0.8,0.4,random,100,3078
93,89,8,3600,42,2,0.8,1.0,random,100,7202
94,94,9,1936,42,2,0.8,0.5,random,100,3874
95,95,9,1976,42,2,0.8,0.6,random,100,3954
96,96,9,2646,42,2,0.8,0.7000000000000001,random,100,5294
97,97,9,2819,42,2,0.8,0.8,random,100,5640
98,98,9,3055,42,2,0.8,0.9,random,100,6112
99,99,9,3600,42,2,0.8,1.0,random,100,7202
