,RunId,Step,seed,steps_per_second,aisle_speed,occupancy,seat_assignment_method,conformance,Time (s),Boarding completed
0,0,865,0,2,0.8,0.1,random,100,433.0,True
17,1,1332,0,2,0.8,0.2,random,100,666.5,True
52,2,1437,0,2,0.8,0.30000000000000004,random,100,719.0,True
104,3,2133,0,2,0.8,0.4,random,100,1067.0,True
174,4,2221,0,2,0.8,0.5,random,100,1111.0,True
261,5,2898,0,2,0.8,0.6,random,100,1449.5,True
365,6,2816,0,2,0.8,0.7000000000000001,random,100,1408.5,True
487,10,624,1,2,0.8,0.1,random,100,312.5,True
504,11,926,1,2,0.8,0.2,random,100,463.5,True
539,12,1484,1,2,0.8,0.30000000000000004,random,100,742.5,True
591,7,3527,0,2,0.8,0.8,random,100,1764.0,True
730,13,1786,1,2,0.8,0.4,random,100,893.5,True
800,8,3746,0,2,0.8,0.9,random,100,1873.5,True
957,14,2156,1,2,0.8,0.5,random,100,1078.5,True
1044,9,3693,0,2,0.8,1.0,random,100,1847.0,True
1218,15,2640,1,2,0.8,0.6,random,100,1320.5,True
1322,16,2710,1,2,0.8,0.7000000000000001,random,100,1355.5,True
1444,20,697,2,2,0.8,0.1,random,100,349.0,True
1461,21,955,2,2,0.8,0.2,random,100,478.0,True
1496,17,2984,1,2,0.8,0.8,random,100,1492.5,True
1635,22,1403,2,2,0.8,0.30000000000000004,random,100,702.0,True
1687,23,1832,2,2,0.8,0.4,random,100,916.5,True
1757,18,3439,1,2,0.8,0.9,random,100,1720.0,True
1914,24,2423,2,2,0.8,0.5,random,100,1212.0,True
2001,25,2596,2,2,0.8,0.6,random,100,1298.5,True
2105,19,4213,1,2,0.8,1.0,random,100,2107.0,True
2279,26,3104,2,2,0.8,0.7000000000000001,random,100,1552.5,True
2401,30,777,3,2,0.8,0.1,random,100,389.0,True
2418,31,1089,3,2,0.8,0.2,random,100,545.0,True
2453,27,3218,2,2,0.8,0.8,random,100,1609.5,True
2592,32,1644,3,2,0.8,0.30000000000000004,random,100,822.5,True
2644,33,1672,3,2,0.8,0.4,random,100,836.5,True
2714,28,3637,2,2,0.8,0.9,random,100,1819.0,True
2871,34,2180,3,2,0.8,0.5,random,100,1090.5,True
2958,35,2469,3,2,0.8,0.6,random,100,1235.0,True
3062,29,4071,2,2,0.8,1.0,random,100,2036.0,True
3236,36,2646,3,2,0.8,0.7000000000000001,random,100,1323.5,True
3358,40,797,4,2,0.8,0.1,random,100,399.0,True
3375,41,1285,4,2,0.8,0.2,random,100,643.0,True
3410,37,2892,3,2,0.8,0.8,random,100,1446.5,True
3549,42,1755,4,2,0.8,0.30000000000000004,random,100,878.0,True
3601,43,2023,4,2,0.8,0.4,random,100,1012.0,True
3671,38,3119,3,2,0.8,0.9,random,100,1560.0,True
3828,44,2400,4,2,0.8,0.5,random,100,1200.5,True
3915,39,4105,3,2,0.8,1.0,random,100,2053.0,True
4089,45,2396,4,2,0.8,0.6,random,100,1198.5,True
4193,46,3130,4,2,0.8,0.7000000000000001,random,100,1565.5,True
4315,50,711,5,2,0.8,0.1,random,100,356.0,True
4332,51,1154,5,2,0.8,0.2,random,100,577.5,True
4367,52,1586,5,2,0.8,0.30000000000000004,random,100,793.5,True
4419,47,3588,4,2,0.8,0.8,random,100,1794.5,True
4558,53,1666,5,2,0.8,0.4,random,100,833.5,True
4628,48,3877,4,2,0.8,0.9,random,100,1939.0,True
4785,54,2063,5,2,0.8,0.5,random,100,1032.0,True
4872,49,4040,4,2,0.8,1.0,random,100,2020.5,True
5046,55,2352,5,2,0.8,0.6,random,100,1176.5,True
5150,56,2873,5,2,0.8,0.7000000000000001,random,100,1437.0,True
5272,60,705,6,2,0.8,0.1,random,100,353.0,True
5289,57,2696,5,2,0.8,0.8,random,100,1348.5,True
5428,61,1186,6,2,0.8,0.2,random,100,593.5,True
5463,62,1626,6,2,0.8,0.30000000000000004,random,100,813.5,True
5515,63,1952,6,2,0.8,0.4,random,100,976.5,True
5585,58,3664,5,2,0.8,0.9,random,100,1832.5,True
5742,64,2112,6,2,0.8,0.5,random,100,1056.5,True
5829,59,3527,5,2,0.8,1.0,random,100,1764.0,True
6003,65,2399,6,2,0.8,0.6,random,100,1200.0,True
6107,66,2887,6,2,0.8,0.7000000000000001,random,100,1444.0,True
6229,70,526,7,2,0.8,0.1,random,100,263.5,True
6246,67,2915,6,2,0.8,0.8,random,100,1458.0,True
6385,71,1117,7,2,0.8,0.2,random,100,559.0,True
6420,72,1787,7,2,0.8,0.30000000000000004,random,100,894.0,True
6472,73,1738,7,2,0.8,0.4,random,100,869.5,True
6542,68,3544,6,2,0.8,0.9,random,100,1772.5,True
6699,69,3595,6,2,0.8,1.0,random,100,1798.0,True
6873,75,2261,7,2,0.8,0.6,random,100,1131.0,True
6977,74,2493,7,2,0.8,0.5,random,100,1247.0,True
7064,76,3029,7,2,0.8,0.7000000000000001,random,100,1515.0,True
7186,80,808,8,2,0.8,0.1,random,100,404.5,True
7203,81,1038,8,2,0.8,0.2,random,100,519.5,True
7238,77,2925,7,2,0.8,0.8,random,100,1463.0,True
7377,82,1582,8,2,0.8,0.30000000000000004,random,100,791.5,True
7429,83,2142,8,2,0.8,0.4,random,100,1071.5,True
7499,78,3721,7,2,0.8,0.9,random,100,1861.0,True
7656,79,3825,7,2,0.8,1.0,random,100,1913.0,True
7830,84,2336,8,2,0.8,0.5,random,100,1168.5,True
7917,85,2404,8,2,0.8,0.6,random,100,1202.5,True
8021,86,2935,8,2,0.8,0.7000000000000001,random,100,1468.0,True
8143,90,692,9,2,0.8,0.1,random,100,346.5,True
8160,91,1138,9,2,0.8,0.2,random,100,569.5,True
8195,92,1555,9,2,0.8,0.30000000000000004,random,100,778.0,True
8247,87,3611,8,2,0.8,0.8,random,100,1806.0,True
8386,88,3656,8,2,0.8,0.9,random,100,1828.5,True
8543,93,1694,9,2,0.8,0.4,random,100,847.5,True
8613,94,1899,9,2,0.8,0.5,random,100,950.0,True
8700,89,3972,8,2,0.8,1.0,random,100,1986.5,True
8874,95,2494,9,2,0.8,0.6,random,100,1247.5,True
8978,96,2937,9,2,0.8,0.7000000000000001,random,100,1469.0,True
9100,97,2979,9,2,0.8,0.8,random,100,1490.0,True
9239,98,3733,9,2,0.8,0.9,random,100,1867.0,True
9396,99,4151,9,2,0.8,1.0,random,100,2076.0,True
