,RunId,Step,seed,steps_per_second,aisle_speed,number_of_passengers,seat_assignment_method,conformance,Time (s),Boarding completed
0,2,2883,0,2,0.8,124,random,70,1442.0,True
124,0,2883,0,2,0.8,124,random,50,1442.0,True
248,1,2883,0,2,0.8,124,random,60,1442.0,True
372,3,2883,0,2,0.8,124,random,80,1442.0,True
496,4,2883,0,2,0.8,124,random,90,1442.0,True
620,5,2883,0,2,0.8,124,random,100,1442.0,True
744,6,3241,0,2,0.8,124,back_to_front,50,1621.0,True
868,7,4013,0,2,0.8,124,back_to_front,60,2007.0,True
992,8,4413,0,2,0.8,124,back_to_front,70,2207.0,True
1116,9,4972,0,2,0.8,124,back_to_front,80,2486.5,True
1240,10,5874,0,2,0.8,124,back_to_front,90,2937.5,True
1364,12,2571,0,2,0.8,124,segmented_random,50,1286.0,True
1488,11,6000,0,2,0.8,124,back_to_front,100,3000.5,False
1612,13,2629,0,2,0.8,124,segmented_random,60,1315.0,True
1736,14,3141,0,2,0.8,124,segmented_random,70,1571.0,True
1860,15,3241,0,2,0.8,124,segmented_random,80,1621.0,True
1984,16,3246,0,2,0.8,124,segmented_random,90,1623.5,True
2108,17,3477,0,2,0.8,124,segmented_random,100,1739.0,True
2232,18,3020,0,2,0.8,124,outside_in,50,1510.5,True
2356,19,3008,0,2,0.8,124,outside_in,60,1504.5,True
2480,20,2777,0,2,0.8,124,outside_in,70,1389.0,True
2604,21,2680,0,2,0.8,124,outside_in,80,1340.5,True
2728,22,2640,0,2,0.8,124,outside_in,90,1320.5,True
2852,25,2262,0,2,0.8,124,steffen_perfect,60,1131.5,True
2976,23,2775,0,2,0.8,124,outside_in,100,1388.0,True
3100,24,2527,0,2,0.8,124,steffen_perfect,50,1264.0,True
3224,26,2243,0,2,0.8,124,steffen_perfect,70,1122.0,True
3348,28,1847,0,2,0.8,124,steffen_perfect,90,924.0,True
3472,29,1558,0,2,0.8,124,steffen_perfect,100,779.5,True
3596,27,1885,0,2,0.8,124,steffen_perfect,80,943.0,True
3720,30,2662,0,2,0.8,125,random,50,1331.5,True
3845,32,2662,0,2,0.8,125,random,70,1331.5,True
3970,31,2662,0,2,0.8,125,random,60,1331.5,True
4095,33,2662,0,2,0.8,125,random,80,1331.5,True
4220,34,2662,0,2,0.8,125,random,90,1331.5,True
4345,35,2662,0,2,0.8,125,random,100,1331.5,True
4470,36,3569,0,2,0.8,125,back_to_front,50,1785.0,True
4595,37,4175,0,2,0.8,125,back_to_front,60,2088.0,True
4720,38,4537,0,2,0.8,125,back_to_front,70,2269.0,True
4845,39,5347,0,2,0.8,125,back_to_front,80,2674.0,True
4970,40,5834,0,2,0.8,125,back_to_front,90,2917.5,True
5095,42,3226,0,2,0.8,125,segmented_random,50,1613.5,True
5220,43,2803,0,2,0.8,125,segmented_random,60,1402.0,True
5345,41,6000,0,2,0.8,125,back_to_front,100,3000.5,False
5470,44,2781,0,2,0.8,125,segmented_random,70,1391.0,True
5595,45,3114,0,2,0.8,125,segmented_random,80,1557.5,True
