,RunId,Step,seed,steps_per_second,aisle_speed,number_of_passengers,conformance,seat_assignment_method,Time (s),Boarding completed,Seat shuffle waiting time (s)
0,14,2357,0,2,0.8,124,14,outside_in,1179.0,True,0.0
124,13,2466,0,2,0.8,124,13,outside_in,1233.5,True,0.0
248,4,2423,0,2,0.8,124,4,outside_in,1212.0,True,0.0
372,0,2556,0,2,0.8,124,0,outside_in,1278.5,True,0.0
496,2,2542,0,2,0.8,124,2,outside_in,1271.5,True,0.0
620,10,2557,0,2,0.8,124,10,outside_in,1279.0,True,0.0
744,3,2602,0,2,0.8,124,3,outside_in,1301.5,True,0.0
868,9,2667,0,2,0.8,124,9,outside_in,1334.0,True,0.0
992,15,2646,0,2,0.8,124,15,outside_in,1323.5,True,0.0
1116,12,2564,0,2,0.8,124,12,outside_in,1282.5,True,0.0
1240,7,2688,0,2,0.8,124,7,outside_in,1344.5,True,0.0
1364,11,2735,0,2,0.8,124,11,outside_in,1368.0,True,0.0
1488,6,2746,0,2,0.8,124,6,outside_in,1373.5,True,0.0
1612,1,2778,0,2,0.8,124,1,outside_in,1389.5,True,0.0
1736,8,2843,0,2,0.8,124,8,outside_in,1422.0,True,0.0
1860,5,3161,0,2,0.8,124,5,outside_in,1581.0,True,0.0
1984,21,2373,0,2,0.8,124,21,outside_in,1187.0,True,0.0
2108,26,2320,0,2,0.8,124,26,outside_in,1160.5,True,0.0
2232,20,2484,0,2,0.8,124,20,outside_in,1242.5,True,0.0
2356,17,2751,0,2,0.8,124,17,outside_in,1376.0,True,0.0
2480,19,2800,0,2,0.8,124,19,outside_in,1400.5,True,0.0
2604,23,2620,0,2,0.8,124,23,outside_in,1310.5,True,0.0
2728,18,2827,0,2,0.8,124,18,outside_in,1414.0,True,0.0
2852,25,2539,0,2,0.8,124,25,outside_in,1270.0,True,0.0
2976,16,2964,0,2,0.8,124,16,outside_in,1482.5,True,0.0
3100,24,2768,0,2,0.8,124,24,outside_in,1384.5,True,0.0
3224,27,2657,0,2,0.8,124,27,outside_in,1329.0,True,0.0
3348,22,2996,0,2,0.8,124,22,outside_in,1498.5,True,0.0
3472,28,2843,0,2,0.8,124,28,outside_in,1422.0,True,0.0
3596,30,2945,0,2,0.8,124,30,outside_in,1473.0,True,0.0
3720,31,2719,0,2,0.8,124,31,outside_in,1360.0,True,0.0
3844,29,2963,0,2,0.8,124,29,outside_in,1482.0,True,0.0
3968,33,2610,0,2,0.8,124,33,outside_in,1305.5,True,0.0
4092,38,2526,0,2,0.8,124,38,outside_in,1263.5,True,0.0
4216,37,2650,0,2,0.8,124,37,outside_in,1325.5,True,0.0
4340,32,2959,0,2,0.8,124,32,outside_in,1480.0,True,0.0
4464,35,2801,0,2,0.8,124,35,outside_in,1401.0,True,0.0
4588,36,2861,0,2,0.8,124,36,outside_in,1431.0,True,0.0
4712,34,2971,0,2,0.8,124,34,outside_in,1486.0,True,0.0
4836,39,2753,0,2,0.8,124,39,outside_in,1377.0,True,0.0
4960,41,2771,0,2,0.8,124,41,outside_in,1386.0,True,0.0
5084,42,2885,0,2,0.8,124,42,outside_in,1443.0,True,0.0
5208,40,2872,0,2,0.8,124,40,outside_in,1436.5,True,0.0
5332,44,2917,0,2,0.8,124,44,outside_in,1459.0,True,0.0
5456,43,2870,0,2,0.8,124,43,outside_in,1435.5,True,0.0
5580,47,2537,0,2,0.8,124,47,outside_in,1269.0,True,0.0
5704,45,3058,0,2,0.8,124,45,outside_in,1529.5,True,0.0
5828,46,3086,0,2,0.8,124,46,outside_in,1543.5,True,0.0
5952,48,2828,0,2,0.8,124,48,outside_in,1414.5,True,0.0
6076,52,2866,0,2,0.8,124,52,outside_in,1433.5,True,0.0
6200,53,2811,0,2,0.8,124,53,outside_in,1406.0,True,0.0
6324,50,3020,0,2,0.8,124,50,outside_in,1510.5,True,0.0
6448,54,2890,0,2,0.8,124,54,outside_in,1445.5,True,0.0
6572,49,3030,0,2,0.8,124,49,outside_in,1515.5,True,0.0
6696,51,3057,0,2,0.8,124,51,outside_in,1529.0,True,0.0
6820,56,2926,0,2,0.8,124,56,outside_in,1463.5,True,0.0
6944,55,3023,0,2,0.8,124,55,outside_in,1512.0,True,0.0
7068,58,2719,0,2,0.8,124,58,outside_in,1360.0,True,0.0
7192,57,2851,0,2,0.8,124,57,outside_in,1426.0,True,0.0
7316,59,2873,0,2,0.8,124,59,outside_in,1437.0,True,0.0
7440,61,2760,0,2,0.8,124,61,outside_in,1380.5,True,0.0
7564,60,3000,0,2,0.8,124,60,outside_in,1500.5,True,0.0
7688,62,2813,0,2,0.8,124,62,outside_in,1407.0,True,0.0
7812,63,2941,0,2,0.8,124,63,outside_in,1471.0,True,0.0
7936,64,2957,0,2,0.8,124,64,outside_in,1479.0,True,0.0
8060,67,2801,0,2,0.8,124,67,outside_in,1401.0,True,0.0
8184,68,2831,0,2,0.8,124,68,outside_in,1416.0,True,0.0
8308,69,2801,0,2,0.8,124,69,outside_in,1401.0,True,0.0
8432,65,2872,0,2,0.8,124,65,outside_in,1436.5,True,0.0
8556,70,2773,0,2,0.8,124,70,outside_in,1387.0,True,0.0
