,RunId,Step,seed,steps_per_second,aisle_speed,number_of_passengers,conformance,seat_assignment_method,Time (s),Boarding completed,Seat shuffle waiting time (s)
0,11,2661,0,2,0.8,125,0,random,1331.0,True,0.0
125,0,2880,0,2,0.8,124,0,random,1440.5,True,0.0
249,12,2661,0,2,0.8,125,10,random,1331.0,True,0.0
374,3,2880,0,2,0.8,124,30,random,1440.5,True,0.0
498,2,2880,0,2,0.8,124,20,random,1440.5,True,0.0
622,4,2880,0,2,0.8,124,40,random,1440.5,True,0.0
746,1,2880,0,2,0.8,124,10,random,1440.5,True,0.0
870,14,2661,0,2,0.8,125,30,random,1331.0,True,0.0
995,13,2661,0,2,0.8,125,20,random,1331.0,True,0.0
1120,8,2880,0,2,0.8,124,80,random,1440.5,True,0.0
1244,5,2880,0,2,0.8,124,50,random,1440.5,True,0.0
1368,6,2880,0,2,0.8,124,60,random,1440.5,True,0.0
1492,7,2880,0,2,0.8,124,70,random,1440.5,True,0.0
1616,15,2661,0,2,0.8,125,40,random,1331.0,True,0.0
1741,9,2880,0,2,0.8,124,90,random,1440.5,True,0.0
1865,10,2880,0,2,0.8,124,100,random,1440.5,True,0.0
1989,16,2661,0,2,0.8,125,50,random,1331.0,True,0.0
2114,19,2661,0,2,0.8,125,80,random,1331.0,True,0.0
2239,17,2661,0,2,0.8,125,60,random,1331.0,True,0.0
2364,18,2661,0,2,0.8,125,70,random,1331.0,True,0.0
2489,20,2661,0,2,0.8,125,90,random,1331.0,True,0.0
2614,21,2661,0,2,0.8,125,100,random,1331.0,True,0.0
2739,22,2803,0,2,0.8,126,0,random,1402.0,True,0.0
2865,23,2803,0,2,0.8,126,10,random,1402.0,True,0.0
2991,26,2803,0,2,0.8,126,40,random,1402.0,True,0.0
3117,27,2803,0,2,0.8,126,50,random,1402.0,True,0.0
3243,24,2803,0,2,0.8,126,20,random,1402.0,True,0.0
3369,28,2803,0,2,0.8,126,60,random,1402.0,True,0.0
3495,30,2803,0,2,0.8,126,80,random,1402.0,True,0.0
3621,25,2803,0,2,0.8,126,30,random,1402.0,True,0.0
3747,29,2803,0,2,0.8,126,70,random,1402.0,True,0.0
3873,31,2803,0,2,0.8,126,90,random,1402.0,True,0.0
3999,34,2678,0,2,0.8,127,10,random,1339.5,True,0.0
4126,33,2678,0,2,0.8,127,0,random,1339.5,True,0.0
4253,35,2678,0,2,0.8,127,20,random,1339.5,True,0.0
4380,32,2803,0,2,0.8,126,100,random,1402.0,True,0.0
4506,36,2678,0,2,0.8,127,30,random,1339.5,True,0.0
4633,37,2678,0,2,0.8,127,40,random,1339.5,True,0.0
4760,38,2678,0,2,0.8,127,50,random,1339.5,True,0.0
4887,39,2678,0,2,0.8,127,60,random,1339.5,True,0.0
5014,40,2678,0,2,0.8,127,70,random,1339.5,True,0.0
5141,42,2678,0,2,0.8,127,90,random,1339.5,True,0.0
5268,41,2678,0,2,0.8,127,80,random,1339.5,True,0.0
5395,43,2678,0,2,0.8,127,100,random,1339.5,True,0.0
5522,44,2901,0,2,0.8,128,0,random,1451.0,True,0.0
5650,45,2901,0,2,0.8,128,10,random,1451.0,True,0.0
5778,46,2901,0,2,0.8,128,20,random,1451.0,True,0.0
5906,47,2901,0,2,0.8,128,30,random,1451.0,True,0.0
6034,48,2901,0,2,0.8,128,40,random,1451.0,True,0.0
6162,49,2901,0,2,0.8,128,50,random,1451.0,True,0.0
6290,51,2901,0,2,0.8,128,70,random,1451.0,True,0.0
6418,56,2777,0,2,0.8,129,10,random,1389.0,True,0.0
6547,55,2777,0,2,0.8,129,0,random,1389.0,True,0.0
6676,57,2777,0,2,0.8,129,20,random,1389.0,True,0.0
6805,50,2901,0,2,0.8,128,60,random,1451.0,True,0.0
6933,52,2901,0,2,0.8,128,80,random,1451.0,True,0.0
7061,54,2901,0,2,0.8,128,100,random,1451.0,True,0.0
