,RunId,Step,seed,steps_per_second,aisle_speed,number_of_passengers,conformance,seat_assignment_method,Time (s),Boarding completed,Seat shuffle waiting time (s)
0,3,2435,0,2,0.8,124,3,segmented_random_4,1218.0,True,0.0
124,15,2464,0,2,0.8,124,15,segmented_random_4,1232.5,True,0.0
248,13,2458,0,2,0.8,124,13,segmented_random_4,1229.5,True,0.0
372,10,2471,0,2,0.8,124,10,segmented_random_4,1236.0,True,0.0
496,5,2474,0,2,0.8,124,5,segmented_random_4,1237.5,True,0.0
620,1,2582,0,2,0.8,124,1,segmented_random_4,1291.5,True,0.0
744,6,2565,0,2,0.8,124,6,segmented_random_4,1283.0,True,0.0
868,8,2655,0,2,0.8,124,8,segmented_random_4,1328.0,True,0.0
992,11,2631,0,2,0.8,124,11,segmented_random_4,1316.0,True,0.0
1116,14,2476,0,2,0.8,124,14,segmented_random_4,1238.5,True,0.0
1240,0,2665,0,2,0.8,124,0,segmented_random_4,1333.0,True,0.0
1364,2,2605,0,2,0.8,124,2,segmented_random_4,1303.0,True,0.0
1488,4,2977,0,2,0.8,124,4,segmented_random_4,1489.0,True,0.0
1612,12,2927,0,2,0.8,124,12,segmented_random_4,1464.0,True,0.0
1736,9,2973,0,2,0.8,124,9,segmented_random_4,1487.0,True,0.0
1860,7,3401,0,2,0.8,124,7,segmented_random_4,1701.0,True,0.0
1984,21,2450,0,2,0.8,124,21,segmented_random_4,1225.5,True,0.0
2108,18,2504,0,2,0.8,124,18,segmented_random_4,1252.5,True,0.0
2232,17,2644,0,2,0.8,124,17,segmented_random_4,1322.5,True,0.0
2356,16,2712,0,2,0.8,124,16,segmented_random_4,1356.5,True,0.0
2480,25,2554,0,2,0.8,124,25,segmented_random_4,1277.5,True,0.0
2604,20,2935,0,2,0.8,124,20,segmented_random_4,1468.0,True,0.0
2728,24,2811,0,2,0.8,124,24,segmented_random_4,1406.0,True,0.0
2852,27,2657,0,2,0.8,124,27,segmented_random_4,1329.0,True,0.0
2976,22,2768,0,2,0.8,124,22,segmented_random_4,1384.5,True,0.0
3100,23,2960,0,2,0.8,124,23,segmented_random_4,1480.5,True,0.0
3224,28,2627,0,2,0.8,124,28,segmented_random_4,1314.0,True,0.0
3348,26,2939,0,2,0.8,124,26,segmented_random_4,1470.0,True,0.0
3472,29,2798,0,2,0.8,124,29,segmented_random_4,1399.5,True,0.0
3596,30,2809,0,2,0.8,124,30,segmented_random_4,1405.0,True,0.0
3720,31,2577,0,2,0.8,124,31,segmented_random_4,1289.0,True,0.0
3844,34,2456,0,2,0.8,124,34,segmented_random_4,1228.5,True,0.0
3968,32,2664,0,2,0.8,124,32,segmented_random_4,1332.5,True,0.0
4092,36,2481,0,2,0.8,124,36,segmented_random_4,1241.0,True,0.0
4216,39,2489,0,2,0.8,124,39,segmented_random_4,1245.0,True,0.0
4340,33,2816,0,2,0.8,124,33,segmented_random_4,1408.5,True,0.0
4464,35,2804,0,2,0.8,124,35,segmented_random_4,1402.5,True,0.0
4588,37,2544,0,2,0.8,124,37,segmented_random_4,1272.5,True,0.0
4712,41,2600,0,2,0.8,124,41,segmented_random_4,1300.5,True,0.0
4836,42,2662,0,2,0.8,124,42,segmented_random_4,1331.5,True,0.0
4960,40,2721,0,2,0.8,124,40,segmented_random_4,1361.0,True,0.0
5084,38,2781,0,2,0.8,124,38,segmented_random_4,1391.0,True,0.0
5208,44,2673,0,2,0.8,124,44,segmented_random_4,1337.0,True,0.0
5332,46,2598,0,2,0.8,124,46,segmented_random_4,1299.5,True,0.0
5456,43,2899,0,2,0.8,124,43,segmented_random_4,1450.0,True,0.0
5580,45,2690,0,2,0.8,124,45,segmented_random_4,1345.5,True,0.0
5704,53,2397,0,2,0.8,124,53,segmented_random_4,1199.0,True,0.0
5828,51,2538,0,2,0.8,124,51,segmented_random_4,1269.5,True,0.0
5952,47,2844,0,2,0.8,124,47,segmented_random_4,1422.5,True,0.0
6076,50,2569,0,2,0.8,124,50,segmented_random_4,1285.0,True,0.0
6200,49,2832,0,2,0.8,124,49,segmented_random_4,1416.5,True,0.0
6324,48,2884,0,2,0.8,124,48,segmented_random_4,1442.5,True,0.0
