,RunId,Step,seed,steps_per_second,aisle_speed,number_of_passengers,conformance,seat_assignment_method,Time (s),Boarding completed,Seat shuffle waiting time (s)
0,5,2501,0,2,0.8,124,5,steffen_perfect,1251.0,True,0.0
124,0,2554,0,2,0.8,124,0,steffen_perfect,1277.5,True,0.0
248,7,2523,0,2,0.8,124,7,steffen_perfect,1262.0,True,0.0
372,12,2595,0,2,0.8,124,12,steffen_perfect,1298.0,True,0.0
496,8,2482,0,2,0.8,124,8,steffen_perfect,1241.5,True,0.0
620,3,2575,0,2,0.8,124,3,steffen_perfect,1288.0,True,0.0
744,1,2571,0,2,0.8,124,1,steffen_perfect,1286.0,True,0.0
868,10,2597,0,2,0.8,124,10,steffen_perfect,1299.0,True,0.0
992,15,2601,0,2,0.8,124,15,steffen_perfect,1301.0,True,0.0
1116,9,2680,0,2,0.8,124,9,steffen_perfect,1340.5,True,0.0
1240,2,2756,0,2,0.8,124,2,steffen_perfect,1378.5,True,0.0
1364,13,2768,0,2,0.8,124,13,steffen_perfect,1384.5,True,0.0
1488,4,2908,0,2,0.8,124,4,steffen_perfect,1454.5,True,0.0
1612,6,2859,0,2,0.8,124,6,steffen_perfect,1430.0,True,0.0
1736,14,3029,0,2,0.8,124,14,steffen_perfect,1515.0,True,0.0
1860,11,3190,0,2,0.8,124,11,steffen_perfect,1595.5,True,0.0
1984,22,2287,0,2,0.8,124,22,steffen_perfect,1144.0,True,0.0
2108,23,2204,0,2,0.8,124,23,steffen_perfect,1102.5,True,0.0
2232,16,2628,0,2,0.8,124,16,steffen_perfect,1314.5,True,0.0
2356,17,2532,0,2,0.8,124,17,steffen_perfect,1266.5,True,0.0
2480,21,2596,0,2,0.8,124,21,steffen_perfect,1298.5,True,0.0
2604,24,2534,0,2,0.8,124,24,steffen_perfect,1267.5,True,0.0
2728,20,2603,0,2,0.8,124,20,steffen_perfect,1302.0,True,0.0
2852,27,2406,0,2,0.8,124,27,steffen_perfect,1203.5,True,0.0
2976,29,2523,0,2,0.8,124,29,steffen_perfect,1262.0,True,0.0
3100,25,2618,0,2,0.8,124,25,steffen_perfect,1309.5,True,0.0
3224,19,2869,0,2,0.8,124,19,steffen_perfect,1435.0,True,0.0
3348,18,2912,0,2,0.8,124,18,steffen_perfect,1456.5,True,0.0
3472,28,2641,0,2,0.8,124,28,steffen_perfect,1321.0,True,0.0
3596,31,2335,0,2,0.8,124,31,steffen_perfect,1168.0,True,0.0
3720,30,2552,0,2,0.8,124,30,steffen_perfect,1276.5,True,0.0
3844,26,2780,0,2,0.8,124,26,steffen_perfect,1390.5,True,0.0
3968,32,2382,0,2,0.8,124,32,steffen_perfect,1191.5,True,0.0
4092,34,2302,0,2,0.8,124,34,steffen_perfect,1151.5,True,0.0
4216,33,2569,0,2,0.8,124,33,steffen_perfect,1285.0,True,0.0
4340,38,2425,0,2,0.8,124,38,steffen_perfect,1213.0,True,0.0
4464,36,2504,0,2,0.8,124,36,steffen_perfect,1252.5,True,0.0
4588,41,2409,0,2,0.8,124,41,steffen_perfect,1205.0,True,0.0
4712,42,2385,0,2,0.8,124,42,steffen_perfect,1193.0,True,0.0
4836,40,2512,0,2,0.8,124,40,steffen_perfect,1256.5,True,0.0
4960,39,2460,0,2,0.8,124,39,steffen_perfect,1230.5,True,0.0
5084,35,2778,0,2,0.8,124,35,steffen_perfect,1389.5,True,0.0
5208,46,2206,0,2,0.8,124,46,steffen_perfect,1103.5,True,0.0
5332,44,2412,0,2,0.8,124,44,steffen_perfect,1206.5,True,0.0
5456,37,2703,0,2,0.8,124,37,steffen_perfect,1352.0,True,0.0
5580,45,2450,0,2,0.8,124,45,steffen_perfect,1225.5,True,0.0
5704,43,2462,0,2,0.8,124,43,steffen_perfect,1231.5,True,0.0
5828,47,2443,0,2,0.8,124,47,steffen_perfect,1222.0,True,0.0
5952,48,2199,0,2,0.8,124,48,steffen_perfect,1100.0,True,0.0
6076,49,2277,0,2,0.8,124,49,steffen_perfect,1139.0,True,0.0
6200,50,2458,0,2,0.8,124,50,steffen_perfect,1229.5,True,0.0
6324,54,2210,0,2,0.8,124,54,steffen_perfect,1105.5,True,0.0
6448,53,2402,0,2,0.8,124,53,steffen_perfect,1201.5,True,0.0
6572,56,2288,0,2,0.8,124,56,steffen_perfect,1144.5,True,0.0
6696,61,2110,0,2,0.8,124,61,steffen_perfect,1055.5,True,0.0
6820,51,2453,0,2,0.8,124,51,steffen_perfect,1227.0,True,0.0
6944,52,2532,0,2,0.8,124,52,steffen_perfect,1266.5,True,0.0
7068,57,2309,0,2,0.8,124,57,steffen_perfect,1155.0,True,0.0
7192,58,2416,0,2,0.8,124,58,steffen_perfect,1208.5,True,0.0
7316,59,2407,0,2,0.8,124,59,steffen_perfect,1204.0,True,0.0
7440,55,2511,0,2,0.8,124,55,steffen_perfect,1256.0,True,0.0
7564,63,2248,0,2,0.8,124,63,steffen_perfect,1124.5,True,0.0
7688,60,2523,0,2,0.8,124,60,steffen_perfect,1262.0,True,0.0
7812,62,2408,0,2,0.8,124,62,steffen_perfect,1204.5,True,0.0
7936,64,2189,0,2,0.8,124,64,steffen_perfect,1095.0,True,0.0
8060,67,1922,0,2,0.8,124,67,steffen_perfect,961.5,True,0.0
8184,65,2327,0,2,0.8,124,65,steffen_perfect,1164.0,True,0.0
8308,71,2010,0,2,0.8,124,71,steffen_perfect,1005.5,True,0.0
8432,68,2067,0,2,0.8,124,68,steffen_perfect,1034.0,True,0.0
8556,69,2058,0,2,0.8,124,69,steffen_perfect,1029.5,True,0.0
8680,66,2330,0,2,0.8,124,66,steffen_perfect,1165.5,True,0.0
8804,70,2155,0,2,0.8,124,70,steffen_perfect,1078.0,True,0.0
8928,78,1873,0,2,0.8,124,78,steffen_perfect,937.0,True,0.0
9052,72,2087,0,2,0.8,124,72,steffen_perfect,1044.0,True,0.0
9176,73,2110,0,2,0.8,124,73,steffen_perfect,1055.5,True,0.0
9300,79,1905,0,2,0.8,124,79,steffen_perfect,953.0,True,0.0
9424,75,2055,0,2,0.8,124,75,steffen_perfect,1028.0,True,0.0
9548,74,2126,0,2,0.8,124,74,steffen_perfect,1063.5,True,0.0
9672,76,2051,0,2,0.8,124,76,steffen_perfect,1026.0,True,0.0
9796,77,2110,0,2,0.8,124,77,steffen_perfect,1055.5,True,0.0
9920,80,1882,0,2,0.8,124,80,steffen_perfect,941.5,True,0.0
10044,82,1792,0,2,0.8,124,82,steffen_perfect,896.5,True,0.0
10168,81,1830,0,2,0.8,124,81,steffen_perfect,915.5,True,0.0
10292,83,1873,0,2,0.8,124,83,steffen_perfect,937.0,True,0.0
10416,93,1723,0,2,0.8,124,93,steffen_perfect,862.0,True,0.0
10540,88,1807,0,2,0.8,124,88,steffen_perfect,904.0,True,0.0
10664,94,1654,0,2,0.8,124,94,steffen_perfect,827.5,True,0.0
10788,95,1666,0,2,0.8,124,95,steffen_perfect,833.5,True,0.0
10912,87,1857,0,2,0.8,124,87,steffen_perfect,929.0,True,0.0
11036,84,1991,0,2,0.8,124,84,steffen_perfect,996.0,True,0.0
11160,86,1956,0,2,0.8,124,86,steffen_perfect,978.5,True,0.0
11284,92,1755,0,2,0.8,124,92,steffen_perfect,878.0,True,0.0
11408,91,1858,0,2,0.8,124,91,steffen_perfect,929.5,True,0.0
11532,85,2001,0,2,0.8,124,85,steffen_perfect,1001.0,True,0.0
11656,89,1890,0,2,0.8,124,89,steffen_perfect,945.5,True,0.0
11780,90,1861,0,2,0.8,124,90,steffen_perfect,931.0,True,0.0
11904,96,1674,0,2,0.8,124,96,steffen_perfect,837.5,True,0.0
12028,97,1723,0,2,0.8,124,97,steffen_perfect,862.0,True,0.0
12152,98,1654,0,2,0.8,124,98,steffen_perfect,827.5,True,0.0
12276,99,1615,0,2,0.8,124,99,steffen_perfect,808.0,True,0.0
12400,100,1615,0,2,0.8,124,100,steffen_perfect,808.0,True,0.0
12524,101,2505,0,2,0.8,125,0,steffen_perfect,1253.0,True,0.0
12649,104,2673,0,2,0.8,125,3,steffen_perfect,1337.0,True,0.0
12774,105,2616,0,2,0.8,125,4,steffen_perfect,1308.5,True,0.0
12899,102,2712,0,2,0.8,125,1,steffen_perfect,1356.5,True,0.0
13024,107,2702,0,2,0.8,125,6,steffen_perfect,1351.5,True,0.0
13149,108,2662,0,2,0.8,125,7,steffen_perfect,1331.5,True,0.0
13274,109,2574,0,2,0.8,125,8,steffen_perfect,1287.5,True,0.0
13399,103,2868,0,2,0.8,125,2,steffen_perfect,1434.5,True,0.0
13524,111,2588,0,2,0.8,125,10,steffen_perfect,1294.5,True,0.0
13649,106,3003,0,2,0.8,125,5,steffen_perfect,1502.0,True,0.0
13774,110,2832,0,2,0.8,125,9,steffen_perfect,1416.5,True,0.0
13899,112,2796,0,2,0.8,125,11,steffen_perfect,1398.5,True,0.0
14024,114,2742,0,2,0.8,125,13,steffen_perfect,1371.5,True,0.0
14149,113,2618,0,2,0.8,125,12,steffen_perfect,1309.5,True,0.0
14274,115,2658,0,2,0.8,125,14,steffen_perfect,1329.5,True,0.0
14399,116,2847,0,2,0.8,125,15,steffen_perfect,1424.0,True,0.0
14524,117,2520,0,2,0.8,125,16,steffen_perfect,1260.5,True,0.0
14649,119,2608,0,2,0.8,125,18,steffen_perfect,1304.5,True,0.0
14774,120,2547,0,2,0.8,125,19,steffen_perfect,1274.0,True,0.0
14899,124,2510,0,2,0.8,125,23,steffen_perfect,1255.5,True,0.0
15024,118,2752,0,2,0.8,125,17,steffen_perfect,1376.5,True,0.0
15149,123,2534,0,2,0.8,125,22,steffen_perfect,1267.5,True,0.0
15274,121,2624,0,2,0.8,125,20,steffen_perfect,1312.5,True,0.0
15399,127,2432,0,2,0.8,125,26,steffen_perfect,1216.5,True,0.0
15524,125,2586,0,2,0.8,125,24,steffen_perfect,1293.5,True,0.0
15649,122,2799,0,2,0.8,125,21,steffen_perfect,1400.0,True,0.0
15774,126,2707,0,2,0.8,125,25,steffen_perfect,1354.0,True,0.0
15899,129,2231,0,2,0.8,125,28,steffen_perfect,1116.0,True,0.0
16024,131,2242,0,2,0.8,125,30,steffen_perfect,1121.5,True,0.0
16149,130,2437,0,2,0.8,125,29,steffen_perfect,1219.0,True,0.0
16274,128,2728,0,2,0.8,125,27,steffen_perfect,1364.5,True,0.0
16399,132,2533,0,2,0.8,125,31,steffen_perfect,1267.0,True,0.0
16524,133,2503,0,2,0.8,125,32,steffen_perfect,1252.0,True,0.0
16649,136,2285,0,2,0.8,125,35,steffen_perfect,1143.0,True,0.0
16774,134,2507,0,2,0.8,125,33,steffen_perfect,1254.0,True,0.0
16899,137,2403,0,2,0.8,125,36,steffen_perfect,1202.0,True,0.0
17024,138,2545,0,2,0.8,125,37,steffen_perfect,1273.0,True,0.0
17149,139,2484,0,2,0.8,125,38,steffen_perfect,1242.5,True,0.0
17274,135,2726,0,2,0.8,125,34,steffen_perfect,1363.5,True,0.0
17399,140,2666,0,2,0.8,125,39,steffen_perfect,1333.5,True,0.0
17524,141,2838,0,2,0.8,125,40,steffen_perfect,1419.5,True,0.0
17649,142,2694,0,2,0.8,125,41,steffen_perfect,1347.5,True,0.0
17774,143,2776,0,2,0.8,125,42,steffen_perfect,1388.5,True,0.0
17899,144,2424,0,2,0.8,125,43,steffen_perfect,1212.5,True,0.0
18024,146,2290,0,2,0.8,125,45,steffen_perfect,1145.5,True,0.0
18149,147,2527,0,2,0.8,125,46,steffen_perfect,1264.0,True,0.0
18274,145,2789,0,2,0.8,125,44,steffen_perfect,1395.0,True,0.0
18399,148,2522,0,2,0.8,125,47,steffen_perfect,1261.5,True,0.0
18524,151,2363,0,2,0.8,125,50,steffen_perfect,1182.0,True,0.0
18649,149,2444,0,2,0.8,125,48,steffen_perfect,1222.5,True,0.0
18774,152,2436,0,2,0.8,125,51,steffen_perfect,1218.5,True,0.0
18899,150,2469,0,2,0.8,125,49,steffen_perfect,1235.0,True,0.0
19024,153,2305,0,2,0.8,125,52,steffen_perfect,1153.0,True,0.0
19149,156,2163,0,2,0.8,125,55,steffen_perfect,1082.0,True,0.0
19274,154,2414,0,2,0.8,125,53,steffen_perfect,1207.5,True,0.0
19399,155,2516,0,2,0.8,125,54,steffen_perfect,1258.5,True,0.0
