,RunId,Step,seed,steps_per_second,aisle_speed,number_of_passengers,seat_assignment_method,conformance,Time (s),Boarding completed,Seat shuffle waiting time (s)
0,12,2336,0,2,0.8,124,back_to_front,10,1168.5,True,0.0
124,2,2880,0,2,0.8,124,random,20,1440.5,True,0.0
248,1,2880,0,2,0.8,124,random,10,1440.5,True,0.0
372,3,2880,0,2,0.8,124,random,30,1440.5,True,0.0
496,4,2880,0,2,0.8,124,random,40,1440.5,True,0.0
620,0,2880,0,2,0.8,124,random,0,1440.5,True,0.0
744,7,2880,0,2,0.8,124,random,70,1440.5,True,0.0
868,10,2880,0,2,0.8,124,random,100,1440.5,True,0.0
992,8,2880,0,2,0.8,124,random,80,1440.5,True,0.0
1116,9,2880,0,2,0.8,124,random,90,1440.5,True,0.0
1240,6,2880,0,2,0.8,124,random,60,1440.5,True,0.0
1364,5,2880,0,2,0.8,124,random,50,1440.5,True,0.0
1488,11,2906,0,2,0.8,124,back_to_front,0,1453.5,True,0.0
1612,13,2950,0,2,0.8,124,back_to_front,20,1475.5,True,0.0
1736,14,2922,0,2,0.8,124,back_to_front,30,1461.5,True,0.0
1860,15,3017,0,2,0.8,124,back_to_front,40,1509.0,True,0.0
1984,23,2471,0,2,0.8,124,segmented_random,10,1236.0,True,0.0
2108,22,2665,0,2,0.8,124,segmented_random,0,1333.0,True,0.0
2232,27,2569,0,2,0.8,124,segmented_random,50,1285.0,True,0.0
2356,24,2935,0,2,0.8,124,segmented_random,20,1468.0,True,0.0
2480,26,2721,0,2,0.8,124,segmented_random,40,1361.0,True,0.0
2604,28,2627,0,2,0.8,124,segmented_random,60,1314.0,True,0.0
2728,25,2809,0,2,0.8,124,segmented_random,30,1405.0,True,0.0
2852,16,3230,0,2,0.8,124,back_to_front,50,1615.5,True,0.0
2976,29,3137,0,2,0.8,124,segmented_random,70,1569.0,True,0.0
3100,30,3234,0,2,0.8,124,segmented_random,80,1617.5,True,0.0
3224,31,3258,0,2,0.8,124,segmented_random,90,1629.5,True,0.0
3348,17,4013,0,2,0.8,124,back_to_front,60,2007.0,True,0.0
3472,18,4396,0,2,0.8,124,back_to_front,70,2198.5,True,0.0
3596,33,2556,0,2,0.8,124,outside_in,0,1278.5,True,0.0
3720,34,2557,0,2,0.8,124,outside_in,10,1279.0,True,0.0
3844,19,4967,0,2,0.8,124,back_to_front,80,2484.0,True,0.0
