,RunId,seed,AgentID,Seat shuffle time (s),Seat shuffle type (A/B/C/D)
0,0,0,1,0.5,A
1,0,0,2,0.5,A
2,0,0,3,0.5,A
3,0,0,4,0.5,A
4,0,0,5,0.5,A
5,0,0,6,0.5,A
6,0,0,7,0.5,A
7,0,0,8,7.0,C
8,0,0,9,0.5,A
9,0,0,10,0.5,A
10,0,0,11,0.5,A
11,0,0,12,0.5,A
12,0,0,13,6.5,C
13,0,0,14,0.5,A
14,0,0,15,0.5,A
15,0,0,16,0.5,A
16,0,0,17,0.5,A
17,1,0,1,0.5,A
18,1,0,2,0.5,A
19,1,0,3,0.5,A
20,1,0,4,0.5,A
21,1,0,5,0.5,A
22,1,0,6,0.5,A
23,1,0,7,0.5,A
24,1,0,8,0.5,A
25,1,0,9,0.5,A
26,1,0,10,0.5,A
27,1,0,11,0.5,A
28,1,0,12,0.5,A
29,1,0,13,0.5,A
30,1,0,14,0.5,A
31,1,0,15,0.5,A
32,1,0,16,7.5,C
33,1,0,17,0.5,A
34,1,0,18,0.5,A
35,1,0,19,0.5,A
36,1,0,20,0.5,A
37,1,0,21,0.5,A
38,1,0,22,0.5,A
39,1,0,23,0.5,A
40,1,0,24,0.5,A
41,1,0,25,0.5,A
42,1,0,26,0.5,A
43,1,0,27,0.5,A
44,1,0,28,0.5,A
45,1,0,29,0.5,A
46,1,0,30,10.0,A
47,1,0,31,0.5,A
48,1,0,32,0.5,A
49,1,0,33,0.5,A
50,1,0,34,0.5,A
51,1,0,35,6.0,B
52,2,0,1,0.5,A
53,2,0,2,0.5,A
54,2,0,3,0.5,A
55,2,0,4,0.5,A
56,2,0,5,0.5,A
57,2,0,6,0.5,A
58,2,0,7,0.5,A
59,2,0,8,0.5,A
60,2,0,9,0.5,A
61,2,0,10,0.5,A
62,2,0,11,6.0,C
63,2,0,12,7.0,C
64,2,0,13,0.5,A
65,2,0,14,0.5,A
66,2,0,15,6.5,C
67,2,0,16,0.5,A
68,2,0,17,0.5,A
69,2,0,18,0.5,A
70,2,0,19,0.5,A
71,2,0,20,0.5,A
72,2,0,21,0.5,A
73,2,0,22,0.5,A
74,2,0,23,0.5,A
75,2,0,24,0.5,A
76,2,0,25,7.0,C
77,2,0,26,0.5,A
78,2,0,27,0.5,A
79,2,0,28,0.5,A
80,2,0,29,0.5,A
81,2,0,30,7.5,C
82,2,0,31,0.5,A
83,2,0,32,0.5,A
84,2,0,33,0.5,A
85,2,0,34,0.5,A
86,2,0,35,0.5,A
87,2,0,36,0.5,A
88,2,0,37,0.5,A
89,2,0,38,0.5,A
90,2,0,39,0.5,A
91,2,0,40,0.5,A
92,2,0,41,0.5,A
93,2,0,42,0.5,A
94,2,0,43,0.5,A
95,2,0,44,0.5,A
96,2,0,45,0.5,A
97,2,0,46,0.5,A
98,2,0,47,2.0,A
99,2,0,48,0.5,A
100,2,0,49,0.5,A
101,2,0,50,6.5,C
102,2,0,51,0.5,A
103,2,0,52,0.5,A
104,3,0,1,0.5,A
105,3,0,2,0.5,A
106,3,0,3,0.5,A
107,3,0,4,0.5,A
108,3,0,5,0.5,A
109,3,0,6,0.5,A
110,3,0,7,0.5,A
111,3,0,8,0.5,A
112,3,0,9,0.5,A
113,3,0,10,0.5,A
114,3,0,11,0.5,A
115,3,0,12,0.5,A
116,3,0,13,0.5,A
117,3,0,14,0.5,A
118,3,0,15,0.5,A
119,3,0,16,0.5,A
120,3,0,17,0.5,A
121,3,0,18,0.5,A
122,3,0,19,0.5,A
123,3,0,20,0.5,A
124,3,0,21,14.0,C
125,3,0,22,7.0,B
126,3,0,23,0.5,A
127,3,0,24,0.5,A
128,3,0,25,0.5,A
129,3,0,26,0.5,A
130,3,0,27,0.5,A
131,3,0,28,7.0,C
132,3,0,29,0.5,A
133,3,0,30,6.5,C
134,3,0,31,0.5,A
135,3,0,32,0.5,A
136,3,0,33,0.5,A
137,3,0,34,0.5,A
138,3,0,35,5.5,C
139,3,0,36,14.5,C
140,3,0,37,0.5,A
141,3,0,38,0.5,A
142,3,0,39,0.5,A
143,3,0,40,0.5,A
144,3,0,41,0.5,A
145,3,0,42,0.5,A
146,3,0,43,0.5,A
147,3,0,44,0.5,A
148,3,0,45,0.5,A
149,3,0,46,7.0,C
150,3,0,47,2.0,A
151,3,0,48,0.5,A
152,3,0,49,0.5,A
153,3,0,50,0.5,A
154,3,0,51,0.5,A
155,3,0,52,7.5,B
156,3,0,53,0.5,A
157,3,0,54,7.5,A
158,3,0,55,7.0,C
159,3,0,56,0.5,A
160,3,0,57,0.5,A
161,3,0,58,0.5,A
162,3,0,59,0.5,A
163,3,0,60,0.5,A
164,3,0,61,0.5,A
165,3,0,62,9.5,A
166,3,0,63,8.5,A
167,3,0,64,0.5,A
168,3,0,65,7.0,A
169,3,0,66,0.5,A
170,3,0,67,6.5,A
171,3,0,68,0.5,A
172,3,0,69,0.5,A
173,3,0,70,6.5,C
174,4,0,1,0.5,A
175,4,0,2,0.5,A
176,4,0,3,0.5,A
177,4,0,4,0.5,A
178,4,0,5,0.5,A
179,4,0,6,0.5,A
180,4,0,7,14.0,C
181,4,0,8,0.5,A
182,4,0,9,0.5,A
183,4,0,10,0.5,A
184,4,0,11,0.5,A
185,4,0,12,0.5,A
186,4,0,13,0.5,A
187,4,0,14,6.0,A
188,4,0,15,0.5,A
189,4,0,16,0.5,A
190,4,0,17,0.5,A
191,4,0,18,0.5,A
192,4,0,19,0.5,A
193,4,0,20,0.5,A
194,4,0,21,7.0,C
195,4,0,22,0.5,A
196,4,0,23,0.5,A
197,4,0,24,0.5,A
198,4,0,25,0.5,A
199,4,0,26,0.5,A
200,4,0,27,0.5,A
201,4,0,28,0.5,A
202,4,0,29,0.5,A
203,4,0,30,14.5,C
204,4,0,31,0.5,A
205,4,0,32,0.5,A
206,4,0,33,6.0,C
207,4,0,34,13.0,A
208,4,0,35,0.5,A
209,4,0,36,9.5,A
210,4,0,37,0.5,A
211,4,0,38,0.5,A
212,4,0,39,0.5,A
213,4,0,40,6.5,A
214,4,0,41,0.5,A
215,4,0,42,10.5,A
216,4,0,43,0.5,A
217,4,0,44,0.5,A
218,4,0,45,0.5,A
219,4,0,46,7.0,B
220,4,0,47,7.5,B
221,4,0,48,0.5,A
222,4,0,49,7.5,B
223,4,0,50,0.5,A
224,4,0,51,0.5,A
225,4,0,52,7.0,B
226,4,0,53,7.5,C
227,4,0,54,0.5,A
228,4,0,55,0.5,A
229,4,0,56,0.5,A
230,4,0,57,6.5,C
231,4,0,58,7.0,C
232,4,0,59,0.5,A
233,4,0,60,0.5,A
234,4,0,61,0.5,A
235,4,0,62,7.0,A
236,4,0,63,8.5,A
237,4,0,64,8.5,C
238,4,0,65,7.5,B
239,4,0,66,0.5,A
240,4,0,67,6.0,C
241,4,0,68,0.5,A
242,4,0,69,0.5,A
243,4,0,70,0.5,A
244,4,0,71,0.5,A
245,4,0,72,7.5,A
246,4,0,73,0.5,A
247,4,0,74,0.5,A
248,4,0,75,0.5,A
249,4,0,76,0.5,A
250,4,0,77,0.5,A
251,4,0,78,1.5,A
252,4,0,79,0.5,A
253,4,0,80,0.5,A
254,4,0,81,7.0,C
255,4,0,82,0.5,A
256,4,0,83,7.5,C
257,4,0,84,0.5,A
258,4,0,85,5.5,C
259,4,0,86,0.5,A
260,4,0,87,7.5,C
261,5,0,1,0.5,A
262,5,0,2,0.5,A
263,5,0,3,0.5,A
264,5,0,4,0.5,A
265,5,0,5,0.5,A
266,5,0,6,15.5,A
267,5,0,7,0.5,A
268,5,0,8,0.5,A
269,5,0,9,0.5,A
270,5,0,10,0.5,A
271,5,0,11,0.5,A
272,5,0,12,0.5,A
273,5,0,13,0.5,A
274,5,0,14,0.5,A
275,5,0,15,9.0,A
276,5,0,16,0.5,A
277,5,0,17,0.5,A
278,5,0,18,0.5,A
279,5,0,19,0.5,A
280,5,0,20,0.5,A
281,5,0,21,0.5,A
282,5,0,22,0.5,A
283,5,0,23,0.5,A
284,5,0,24,0.5,A
285,5,0,25,0.5,A
286,5,0,26,0.5,A
287,5,0,27,0.5,A
288,5,0,28,0.5,A
289,5,0,29,0.5,A
290,5,0,30,0.5,A
